row2	2119	0.9396918178003063
row3	2739061	0.008031849539579652
row4	876	0.015323420418495387
row5	631220	0.0015356619997572783
row6	2666132	0.0001333898249907
row7	1981031	0.0006043939944710342
row8	1319815	0.00013725882601689824
row9	188913	0.03130417596621712
row10	881	0.00028689356215503984
row11	2718620	5.114314499736628e-05
row12	2588536	0.000145276610344724
row13	1581557	0.0003713666843633719
row14	2116	5.1944491695115825e-05
row15	94869	0.00020839393399990449
row16	2828656	0.0008509418971662766
row17	696127	0.0008726495986246001
row18	3073271	9.551544064489948e-05
row19	189381	0.00012590311422999904
row20	3135776	7.389159269177916e-05
row21	2824561	0.0001041115592664726
row22	unmapped	0.0
row23	mapped_unclassified	0.0
