row2	3070656	0.9397534823688489
row3	2033033	0.021363154575133266
row4	645	0.00013173027871160367
row5	654	0.0015921809584699017
row6	2739061	0.00022908483402524403
row7	188913	0.02884575617899284
row8	1319815	0.00018934967496190527
row9	2778066	0.0026523930613942164
row10	2033032	0.00013874621867907767
row11	631220	8.41777553717068e-05
row12	2119	0.003053533214507216
row13	2828656	0.0007962094841121286
row14	24	0.0002342271072042339
row15	2726434	8.146296895250475e-05
row16	876	0.0008181929932887061
row17	3366811	3.631832734546552e-05
row18	unmapped	0.0
row19	mapped_unclassified	0.0
