row2	2119	0.9945712078737013
row3	188913	0.00021263854051849088
row4	1319815	0.00021263854051849088
row5	2033033	0.0013647858690646914
row6	654	0.001098418324363051
row7	197700	6.33904728400247e-05
row8	2778066	0.0005089513483221898
row9	2033032	6.724085215945137e-05
row10	24	5.2346618583981465e-05
row11	2726434	6.0481994752360635e-05
row12	1502	0.0007767816072002014
row13	876	0.00010414948923354655
row14	3070656	0.000190940730261502
row15	94869	0.0006075386871956882
row16	2739061	0.00010848905128494432
row17	unmapped	0.0
row18	mapped_unclassified	0.0
