tax_id	abundance	organism_name	Species	Genus	Family	Order	Class	Phylum	Kingdom	Domain	estimated counts
188913	0.21419155842773474	Cetobacterium somerae	Cetobacterium somerae	Cetobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteriota	Fusobacteriati	Bacteria	94592.98956532363
1319815	0.0012370707880090723	Cetobacterium somerae ATCC BAA-474	Cetobacterium somerae	Cetobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteriota	Fusobacteriati	Bacteria	546.3250979668705
3070656	0.6717380246045926	Paludihabitans sp. MB14-C6	Paludihabitans sp. MB14-C6	Paludihabitans	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota	Bacillati	Bacteria	296658.320330077
2119	0.04069620208359584	Malacoplasma muris	Malacoplasma muris	Malacoplasma	Mycoplasmoidaceae	Mycoplasmoidales		Mycoplasmatota	Bacillati	Bacteria	17972.582333774262
2739061	0.045300281892957435	Deefgea piscis	Deefgea piscis	Deefgea	Chitinibacteraceae	Neisseriales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	20005.872891823004
2865840	6.710999700809304e-05	Deefgea tanakiae	Deefgea tanakiae	Deefgea	Chitinibacteraceae	Neisseriales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	29.637653758690114
2590015	0.0015710278914043948	Shewanella sp. SNU WT4	Shewanella sp. SNU WT4	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	693.80990562514
631220	0.0021835389990395118	Desulfovibrio sp. G11	Desulfovibrio sp. G11	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Desulfovibrionia	Thermodesulfobacteriota	Pseudomonadati	Bacteria	964.3119610678215
2787751	4.599252483643087e-05	Taurinivorans muris	Taurinivorans muris	Taurinivorans	Desulfovibrionaceae	Desulfovibrionales	Desulfovibrionia	Thermodesulfobacteriota	Pseudomonadati	Bacteria	20.311586758463292
169435	3.487112623789121e-05	Anaerotruncus colihominis	Anaerotruncus colihominis	Anaerotruncus	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota	Bacillati	Bacteria	15.40006573818742
171287	0.013196647996137024	Mesomycoplasma moatsii	Mesomycoplasma moatsii	Mesomycoplasma	Metamycoplasmataceae	Mycoplasmoidales		Mycoplasmatota	Bacillati	Bacteria	5828.009261238001
292461	2.4988294215984307e-05	Mycoplasma iguanae	Mycoplasma iguanae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Mycoplasmatota	Bacillati	Bacteria	11.035530398016718
82983	0.006741384813547965	Obesumbacterium proteus	Obesumbacterium proteus	Obesumbacterium	Hafniaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	2977.1842924375605
2125	0.002235104981273556	Metamycoplasma sualvi	Metamycoplasma sualvi	Metamycoplasma	Metamycoplasmataceae	Mycoplasmoidales		Mycoplasmatota	Bacillati	Bacteria	987.0849426698779
654	0.00019468068971293653	Aeromonas veronii	Aeromonas veronii	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	85.97644363654473
3058402	4.301085005285807e-05	Terrisporobacter vanillatitrophus	Terrisporobacter vanillatitrophus	Terrisporobacter	Peptostreptococcaceae	Peptostreptococcales	Clostridia	Bacillota	Bacillati	Bacteria	18.994795687143604
272633	5.7699077020228836e-05	Malacoplasma penetrans HF-2	Malacoplasma penetrans	Malacoplasma	Mycoplasmoidaceae	Mycoplasmoidales		Mycoplasmatota	Bacillati	Bacteria	25.48152798628962
94869	4.980203690330934e-05	Clostridium gasigenes	Clostridium gasigenes	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Bacillota	Bacillati	Bacteria	21.9939739535347
3417654	0.0001757071831597436	Cetobacterium sp. SF1	Cetobacterium sp. SF1	Cetobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteriota	Fusobacteriati	Bacteria	77.59721188447125
876	2.2878781523731632e-05	Desulfovibrio desulfuricans	Desulfovibrio desulfuricans	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Desulfovibrionia	Thermodesulfobacteriota	Pseudomonadati	Bacteria	10.103910526762553
2828656	9.507661590631785e-05	Thermospira aquatica	Thermospira aquatica	Thermospira	Thermospiraceae	Brevinematales	Spirochaetia	Spirochaetota	Pseudomonadati	Bacteria	41.98849572947534
2033032	2.942847635195552e-05	Aeromonas sp. CA23	Aeromonas sp. CA23	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	12.996439154361413
1490	4.5274579003008496e-05	Paraclostridium bifermentans	Paraclostridium bifermentans	Paraclostridium	Peptostreptococcaceae	Peptostreptococcales	Clostridia	Bacillota	Bacillati	Bacteria	19.994521775940637
1925548	2.2637289501504248e-05	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Candidatus Pelagibacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	9.997260887970318
unmapped	0.0										1.0
mapped_unclassified	0.0										232.0
