Species	tax_id	organism_name	Genus	Family	Order	Class	Phylum	Kingdom	Domain	pathogen_status	sum	SAMPLE_1	SAMPLE_10	SAMPLE_11	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_2	SAMPLE_20	SAMPLE_21	SAMPLE_22	SAMPLE_23	SAMPLE_24	SAMPLE_25	SAMPLE_26	SAMPLE_27	SAMPLE_28	SAMPLE_29	SAMPLE_3	SAMPLE_30	SAMPLE_31	SAMPLE_32	SAMPLE_33	SAMPLE_34	SAMPLE_35	SAMPLE_4	SAMPLE_5	SAMPLE_6	SAMPLE_7	SAMPLE_8	SAMPLE_9
Plesiomonas shigelloides	703	Plesiomonas shigelloides	Plesiomonas	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	pathogen	0.045792091	0	0	3.80E-05	0	0	0.00938421	0.001063981	0	4.90E-05	0	5.66E-05	0	0.007687404	0	0	0	0	0.001950116	0	0	0	0.001099214	9.29E-05	0	0	0	0	0	0	0	0	0.007514004	0	8.70E-05	0.01676966
Pleurocapsa sp. FMAR1	3040204	Pleurocapsa sp. FMAR1	Pleurocapsa	Hyellaceae	Pleurocapsales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	NA	0.002655465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002655465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polaromonas sp.	1869339	Polaromonas sp.	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	5.4614E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.46E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pollutimonas sp. M17	2962065	Pollutimonas sp. M17	Pollutimonas	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000376644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.80E-05	0	0	0	0	0.000278647	0	0
Polymorphobacter sp.	1909290	Polymorphobacter sp.	Polymorphobacter	Sphingosinicellaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000266497	0	5.97E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000206769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter difficilis	556054	Polynucleobacter difficilis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	3.67316E-05	0	0	0	0	0	0	0	0	3.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyrobacter sp. ULC335	2854260	Porphyrobacter sp. ULC335	Porphyrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000403913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000403913	0	0
Priestia flexa	86664	Priestia flexa	Priestia	Bacillaceae	Bacillales	Bacilli	Bacillota	Bacillati	Bacteria	NA	0.10138544	0	0	0	0.001659223	0.000408211	0.001490036	0.097074611	0	0	0.000316809	0	0	0	0	0	0	0	9.42E-05	5.11E-05	0	5.68E-05	0	0	0	0	0	0	0	0	0	0	0.000164559	0	0	6.99E-05
Priestia megaterium	1404	Priestia megaterium	Priestia	Bacillaceae	Bacillales	Bacilli	Bacillota	Bacillati	Bacteria	NA	0.051934938	0	0	0	0.000301957	5.24E-05	0.001181146	0.047618373	0	0	0.000246852	0	0	0.000238684	0	0	0	0	0.000253532	0.000271237	0.000106898	0	0	0	0	0	0	0	0	0	0	0	0.001397352	0	0.000147402	0.000119136
Pseudogulbenkiania sp. NH8B	748280	Pseudogulbenkiania sp. NH8B	Pseudogulbenkiania	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.016593777	0.00120313	9.49E-05	0	0	0	0	0.002182172	0	0	0	0	0	0.000187498	0	0	0	0	9.32E-05	0	0	0	9.85E-05	0	0	4.74E-05	0	0	0.00041614	0	0	0	0	0	0.012270799	0
Pseudomonas siliginis	2842346	Pseudomonas siliginis	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000483824	0	0	0	0	0	0	0	0	0.000208146	0	0	0	0	0	0	0	0	0.000206769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.89E-05
Pusillimonas sp. T7-7	1007105	Pusillimonas sp. T7-7	Pusillimonas	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.01145058	0	0	0	5.38E-05	7.53E-05	0	0	0.000376354	0	0	0	0	0.000116676	0	8.97E-05	0	0.000551606	0.000159527	0	0	0	0.000119833	0	0	0	0	0	0.001206085	0.006043545	0	0	0	0.002562781	9.54E-05	0
Reyranella sp.	1929291	Reyranella sp.	Reyranella	Reyranellaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000149259	0	0	0	0	0	0	0	0	3.98E-05	0	0	0	0	0	0	0	0	0.000109466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rheinheimera sp. MM224	3019969	Rheinheimera sp. MM224	Rheinheimera	Chromatiaceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000185321	0	0	0	0	0	0	0	0	0.000128561	0	0	0	0	0	0	0	0	5.68E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium daejeonense	240521	Rhizobium daejeonense	Rhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	8.42221E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.42E-05
Rhodoferax saidenbachensis	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000201957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000201957	0	0
Rhodoferax sediminis	2509614	Rhodoferax sediminis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000239203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000239203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodoferax sp. GW822-FHT02A01	3141537	Rhodoferax sp. GW822-FHT02A01	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.00057035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057035	0	0	0	0	0	0	0	0	0	0	0	0	0
